Typecode,XGBoost R2±std,Poly2 R2±std,XGBoost RMSE±std,Poly2 RMSE±std
A124,0.949±0.025,0.338±0.144,0.480±0.165,1.410±0.381
A19N,0.946±0.028,-0.128±0.496,0.132±0.036,0.445±0.081
A20N,0.953±0.020,-0.135±0.571,0.313±0.077,1.031±0.191
A21N,0.942±0.038,-0.162±0.586,0.806±0.286,2.430±0.517
A306,0.983±0.016,0.051±0.235,0.355±0.158,1.991±0.485
A30B,0.996±0.002,0.319±0.125,0.142±0.056,1.548±0.316
A310,0.995±0.002,0.495±0.122,0.187±0.044,1.618±0.227
A318,0.968±0.022,-0.040±0.238,0.099±0.035,0.422±0.097
A319,0.972±0.020,0.033±0.104,0.112±0.051,0.520±0.136
A320,0.975±0.015,-0.021±0.176,0.147±0.049,0.704±0.162
A321,0.972±0.022,0.079±0.245,0.253±0.119,1.102±0.248
A332,0.963±0.035,0.069±0.226,0.785±0.406,2.621±0.783
A333,0.954±0.025,0.056±0.151,1.100±0.306,3.507±0.932
A338,0.948±0.032,0.087±0.118,1.295±0.446,4.270±0.882
A339,0.951±0.030,0.119±0.101,1.277±0.416,4.147±0.947
A342,0.952±0.024,0.099±0.144,0.448±0.157,1.472±0.312
A343,0.960±0.025,0.138±0.075,0.346±0.118,1.256±0.298
A345,0.957±0.026,0.121±0.065,0.620±0.219,2.185±0.487
A346,0.951±0.028,0.146±0.105,0.842±0.270,2.681±0.555
A359,0.965±0.025,-0.027±0.130,0.937±0.414,3.661±0.787
A35K,0.954±0.040,0.039±0.151,1.722±0.688,5.651±1.482
A388,0.983±0.020,-0.031±0.190,0.466±0.259,2.986±0.540
A4,0.991±0.011,0.355±0.115,0.049±0.029,0.372±0.078
A6,0.993±0.005,0.709±0.095,0.062±0.023,0.313±0.076
AJET,0.976±0.018,0.091±0.388,0.011±0.005,0.057±0.010
ASTR,0.954±0.027,-0.168±0.296,0.029±0.013,0.105±0.021
B37M,0.955±0.031,-0.339±0.668,0.565±0.151,1.778±0.424
B38M,0.953±0.042,-0.216±0.579,0.602±0.223,1.885±0.441
B39M,0.962±0.019,-0.148±0.558,0.592±0.124,1.930±0.421
B3XM,0.964±0.029,-0.560±1.899,0.579±0.320,1.775±0.242
B461,0.957±0.008,0.233±0.189,0.033±0.006,0.112±0.030
B462,0.954±0.009,0.227±0.148,0.034±0.007,0.113±0.031
B463,0.946±0.007,0.213±0.111,0.036±0.006,0.116±0.032
B703,0.979±0.013,0.020±0.242,0.058±0.022,0.310±0.057
B712,0.984±0.008,0.111±0.290,0.090±0.025,0.496±0.123
B722,0.964±0.020,0.106±0.185,0.146±0.045,0.533±0.146
B732,0.960±0.009,0.200±0.080,0.165±0.027,0.607±0.147
B733,0.977±0.013,0.048±0.070,0.075±0.025,0.410±0.107
B734,0.971±0.021,0.054±0.082,0.114±0.049,0.525±0.136
B735,0.978±0.009,0.043±0.073,0.079±0.026,0.406±0.111
